Source,Location,Number of Beds,Type,Price (HKD)
Hotel,Taito,1.0,Hotel Room,1201.0
Hotel,Minato,1.0,Hotel Room,678.0
Hotel,Chuo,1.0,Hotel Room,663.0
Hotel,Chiyoda,1.0,Dormitory,619.0
Hotel,Minato,1.0,Hotel Room,831.0
Hotel,Minato,1.0,Hotel Room,865.0
Hotel,Minato,1.0,Hotel Room,714.0
Hotel,Koto,1.0,Dormitory,249.0
Hotel,Nerima,1.0,Hotel Room,695.0
Hotel,(outside tokyo),3.0,Hotel Room,2713.0
Hotel,Minato,1.0,Hotel Room,628.0
Hotel,Toshima,1.0,Hotel Room,672.0
Hotel,Chiyoda,1.0,Hotel Room,1153.0
Hotel,Toshima,1.0,Hotel Room,703.0
Hotel,Shinjuku,1.0,Hotel Room,1098.0
Hotel,Sumida,1.0,Dormitory,195.0
Hotel,Toshima,1.0,Hotel Room,945.0
Hotel,Taito,1.0,Hotel Room,476.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Shinagawa,1.0,Hotel Room,683.0
Hotel,Shinjuku,1.0,Hotel Room,962.0
Hotel,Toshima,1.0,Hotel Room,1298.0
Hotel,Chuo,4.0,Hotel Room,2678.0
Hotel,Taito,1.0,Dormitory,205.0
Hotel,Kita,1.0,Hotel Room,630.0
Hotel,Setagaya,2.0,Hotel Room,3462.0
Hotel,Taito,1.0,Hotel Room,649.0
Hotel,Minato,1.0,Hotel Room,1255.0
Hotel,Taito,1.0,Hotel Room,569.0
Hotel,Chiyoda,1.0,Hotel Room,1310.0
Hotel,Minato,1.0,Hotel Room,820.0
Hotel,Taito,1.0,Hotel Room,925.0
Hotel,Toshima,1.0,Hotel Room,740.0
Hotel,Chuo,1.0,Hotel Room,774.0
Hotel,Chiyoda,1.0,Hotel Room,581.0
Hotel,Shibuya,1.0,Hotel Room,4938.0
Hotel,Koto,1.0,Hotel Room,490.0
Hotel,Taito,1.0,Hotel Room,512.0
Hotel,Chuo,1.0,Hotel Room,2402.0
Hotel,Chuo,1.0,Hotel Room,822.0
Hotel,Chuo,1.0,Hotel Room,1590.0
Hotel,Koto,,Hotel Room,752.0
Hotel,Shinagawa,1.0,Hotel Room,622.0
Hotel,Chuo,1.0,Hotel Room,968.0
Hotel,Taito,1.0,Hotel Room,571.0
Hotel,Ota,1.0,Hotel Room,538.0
Hotel,Minato,1.0,Hotel Room,725.0
Hotel,Minato,1.0,Hotel Room,1244.0
Hotel,Meguro,1.0,Hotel Room,1066.0
Hotel,Ota,1.0,Hotel Room,1036.0
Hotel,Chuo,1.0,Hotel Room,2618.0
Hotel,Chuo,1.0,Hotel Room,652.0
Hotel,Minato,1.0,Hotel Room,837.0
Hotel,Chuo,1.0,Hotel Room,843.0
Hotel,Shinjuku,1.0,Hotel Room,749.0
Hotel,Chiyoda,1.0,Dormitory,346.0
Hotel,Shibuya,1.0,Hotel Room,2261.0
Hotel,Taito,1.0,Hotel Room,342.0
Hotel,Kita,1.0,Hotel Room,680.0
Hotel,Bunkyo,1.0,Hotel Room,820.0
Hotel,Taito,1.0,Dormitory,357.0
Hotel,Taito,1.0,Hotel Room,813.0
Hotel,(outside tokyo),2.0,Hotel Room,1634.0
Hotel,Shinjuku,2.0,Hotel Room,854.0
Hotel,Shibuya,1.0,Hotel Room,1363.0
Hotel,Shinjuku,1.0,Hotel Room,613.0
Hotel,Chiyoda,1.0,Hotel Room,591.0
Hotel,Taito,1.0,Hotel Room,974.0
Hotel,Sumida,1.0,Hotel Room,524.0
Hotel,Chiyoda,1.0,Hotel Room,6547.0
Hotel,Chuo,1.0,Hotel Room,1345.0
Hotel,Shinjuku,1.0,Hotel Room,644.0
Hotel,Shinjuku,1.0,Dormitory,541.0
Hotel,Edogawa,1.0,Hotel Room,795.0
Hotel,Chuo,,Hotel Room,2255.0
Hotel,Adachi,1.0,Hotel Room,779.0
Hotel,Ota,1.0,Hotel Room,552.0
Hotel,(outside tokyo),3.0,Hotel Room,2185.0
Hotel,Shibuya,1.0,Hotel Room,1497.0
Hotel,Shinjuku,1.0,Hotel Room,622.0
Hotel,Arakawa,1.0,Hotel Room,768.0
Hotel,Chuo,1.0,Hotel Room,490.0
Hotel,Chiyoda,1.0,Hotel Room,4437.0
Hotel,Chiyoda,1.0,Hotel Room,1211.0
Hotel,Taito,1.0,Dormitory,411.0
Hotel,Arakawa,1.0,Hotel Room,498.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Katsuhika,1.0,Hotel Room,465.0
Hotel,Shinjuku,2.0,Hotel Room,884.0
Hotel,Taito,3.0,Hotel Room,1039.0
Hotel,Taito,2.0,Hotel Room,606.0
Hotel,Toshima,2.0,Hotel Room,487.0
Hotel,Chiyoda,1.0,Hotel Room,2248.0
Hotel,Bunkyo,1.0,Hotel Room,663.0
Hotel,Toshima,1.0,Hotel Room,659.0
Hotel,Sumida,1.0,Hotel Room,454.0
Hotel,Shinagawa,1.0,Hotel Room,457.0
Hotel,Chiyoda,1.0,Hotel Room,857.0
Hotel,Sumida,1.0,Dormitory,216.0
Hotel,Shinjuku,1.0,Hotel Room,811.0
Hotel,Toshima,1.0,Hotel Room,487.0
Hotel,Taito,1.0,Hotel Room,476.0
Hotel,Toshima,1.0,Hotel Room,379.0
Hotel,Shibuya,1.0,Hotel Room,613.0
Hotel,Shinjuku,1.0,Hotel Room,541.0
Hotel,Chuo,1.0,Hotel Room,728.0
Hotel,Shinjuku,1.0,Hotel Room,4047.0
Hotel,Chiyoda,1.0,Hotel Room,844.0
Hotel,Koto,1.0,Hotel Room,1396.0
Hotel,Taito,1.0,Hotel Room,535.0
Hotel,Sumida,1.0,Hotel Room,270.0
Hotel,Taito,1.0,Hotel Room,718.0
Hotel,Minato,1.0,Hotel Room,622.0
Hotel,Chuo,,Apartment,1519.0
Hotel,Toshima,1.0,Hotel Room,912.0
Hotel,Taito,1.0,Hotel Room,685.0
Hotel,Shinjuku,1.0,Hotel Room,541.0
Hotel,Shinjuku,1.0,Hotel Room,678.0
Hotel,Taito,2.0,Hotel Room,833.0
Hotel,Shibuya,1.0,Hotel Room,1579.0
Hotel,Shinjuku,1.0,Hotel Room,914.0
Hotel,Taito,1.0,Hotel Room,746.0
Hotel,Toshima,1.0,Hotel Room,963.0
Hotel,Minato,1.0,Hotel Room,1869.0
Hotel,(outside tokyo),2.0,Hotel Room,2072.0
Hotel,Adachi,1.0,Hotel Room,1148.0
Hotel,Chuo,1.0,Hotel Room,1168.0
Hotel,Chuo,1.0,Hotel Room,837.0
Hotel,Toshima,,Apartment,1194.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Minato,1.0,Hotel Room,947.0
Hotel,Shinagawa,1.0,Hotel Room,717.0
Hotel,Taito,1.0,Dormitory,401.0
Hotel,Toshima,1.0,Hotel Room,1255.0
Hotel,Shinjuku,1.0,Hotel Room,779.0
Hotel,Shinjuku,1.0,Hotel Room,745.0
Hotel,Chuo,1.0,Hotel Room,952.0
Hotel,Shibuya,,Apartment,1212.0
Hotel,Sumida,3.0,Hotel Room,569.0
Hotel,Ota,1.0,Hotel Room,725.0
Hotel,Minato,3.0,Hotel Room,1136.0
Hotel,Minato,1.0,Hotel Room,454.0
Hotel,Toshima,1.0,Hotel Room,865.0
Hotel,Chuo,1.0,Hotel Room,703.0
Hotel,Suginami,1.0,Hotel Room,828.0
Hotel,Suginami,1.0,Hotel Room,757.0
Hotel,Taito,1.0,Hotel Room,631.0
Hotel,Sumida,1.0,Hotel Room,647.0
Hotel,Minato,2.0,Hotel Room,811.0
Hotel,Toshima,1.0,Hotel Room,801.0
Hotel,Adachi,2.0,Hotel Room,398.0
Hotel,Sumida,1.0,Hotel Room,1378.0
Hotel,(outside tokyo),2.0,Hotel Room,1594.0
Hotel,Taito,1.0,Hotel Room,376.0
Hotel,Chiyoda,1.0,Hotel Room,844.0
Hotel,Minato,1.0,Hotel Room,569.0
Hotel,Shibuya,1.0,Dormitory,459.0
Hotel,Nerima,1.0,Hotel Room,920.0
Hotel,Taito,2.0,Hotel Room,579.0
Hotel,(outside tokyo),1.0,Hotel Room,692.0
Hotel,Minato,2.0,Hotel Room,1635.0
Hotel,Shinjuku,1.0,Hotel Room,822.0
Hotel,Chuo,1.0,Hotel Room,541.0
Hotel,Shinjuku,2.0,Hotel Room,627.0
Hotel,Chiyoda,1.0,Hotel Room,1550.0
Hotel,Minato,1.0,Hotel Room,686.0
Hotel,(outside tokyo),2.0,Hotel Room,2510.0
Hotel,Toshima,1.0,Hotel Room,564.0
Hotel,Shinjuku,1.0,Dormitory,364.0
Hotel,Ota,1.0,Hotel Room,576.0
Hotel,Chuo,1.0,Hotel Room,809.0
Hotel,Taito,1.0,Hotel Room,1634.0
Hotel,Shinjuku,1.0,Hotel Room,844.0
Hotel,Shinjuku,1.0,Hotel Room,535.0
Hotel,Ota,1.0,Hotel Room,831.0
Hotel,Sumida,1.0,Hotel Room,877.0
Hotel,Taito,1.0,Hotel Room,897.0
Hotel,Chuo,1.0,Hotel Room,476.0
Hotel,Chiyoda,1.0,Hotel Room,5543.0
Hotel,Sumida,,Apartment,1107.0
Hotel,Shibuya,1.0,Hotel Room,579.0
Hotel,Chiyoda,,Studio,4094.0
Hotel,Shinjuku,1.0,Hotel Room,595.0
Hotel,(outside tokyo),1.0,Hotel Room,660.0
Hotel,Koto,1.0,Hotel Room,1517.0
Hotel,Shibuya,1.0,Hotel Room,1332.0
Hotel,Ota,1.0,Hotel Room,785.0
Hotel,Edogawa,1.0,Hotel Room,584.0
Hotel,Toshima,1.0,Hotel Room,1584.0
Hotel,Chiyoda,1.0,Hotel Room,8355.0
Hotel,Shinjuku,1.0,Hotel Room,703.0
Hotel,Nakano,1.0,Hotel Room,2278.0
Hotel,Nakano,1.0,Hotel Room,2278.0
Hotel,Minato,1.0,Hotel Room,686.0
Hotel,Shinjuku,1.0,Dormitory,292.0
Hotel,Shibuya,1.0,Hotel Room,476.0
Hotel,Chuo,1.0,Hotel Room,655.0
Hotel,Sumida,1.0,Hotel Room,716.0
Hotel,Chiyoda,1.0,Hotel Room,660.0
Hotel,(outside tokyo),1.0,Hotel Room,1069.0
Hotel,Chiyoda,1.0,Hotel Room,607.0
Hotel,Shibuya,1.0,Dormitory,322.0
Hotel,Chiyoda,1.0,Hotel Room,1098.0
Hotel,Minato,1.0,Hotel Room,1270.0
Hotel,Taito,1.0,Dormitory,286.0
Hotel,Ota,,Miscellaneous,1779.0
Hotel,Shinjuku,2.0,Hotel Room,7059.0
Hotel,Shinjuku,1.0,Dormitory,270.0
Hotel,Chiyoda,1.0,Hotel Room,536.0
Hotel,Taito,1.0,Hotel Room,797.0
Hotel,Chuo,2.0,Hotel Room,939.0
Hotel,Shinjuku,,Apartment,303.0
Hotel,Chiyoda,1.0,Hotel Room,909.0
Hotel,(outside tokyo),2.0,Hotel Room,1097.0
Hotel,Taito,1.0,Hotel Room,562.0
Hotel,Taito,1.0,Hotel Room,924.0
Hotel,Shinjuku,2.0,Hotel Room,974.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Taito,1.0,Dormitory,322.0
Hotel,Ota,1.0,Hotel Room,574.0
Hotel,Taito,2.0,Dormitory,560.0
Hotel,Arakawa,1.0,Hotel Room,657.0
Hotel,Taito,1.0,Dormitory,195.0
Hotel,Shinjuku,1.0,Hotel Room,644.0
Hotel,Koto,1.0,Hotel Room,779.0
Hotel,Minato,1.0,Hotel Room,594.0
Hotel,Taito,1.0,Dormitory,314.0
Hotel,Adachi,1.0,Dormitory,318.0
Hotel,Taito,1.0,Hotel Room,554.0
Hotel,Shinagawa,1.0,Hotel Room,717.0
Hotel,Shinjuku,1.0,Hotel Room,448.0
Hotel,Toshima,1.0,Hotel Room,968.0
Hotel,Taito,1.0,Hotel Room,736.0
Hotel,Taito,1.0,Hotel Room,1275.0
Hotel,Meguro,1.0,Hotel Room,4954.0
Hotel,Chiyoda,1.0,Dormitory,327.0
Hotel,Taito,2.0,Hotel Room,682.0
Hotel,Shinjuku,3.0,Dormitory,195.0
Hotel,Shinjuku,1.0,Dormitory,226.0
Hotel,Sumida,1.0,Dormitory,389.0
Hotel,Taito,1.0,Hotel Room,725.0
Hotel,Minato,1.0,Hotel Room,769.0
Hotel,Chuo,1.0,Hotel Room,536.0
Hotel,Chuo,3.0,Hotel Room,2916.0
Hotel,Chiyoda,5.0,Hotel Room,2175.0
Hotel,Shinjuku,1.0,Dormitory,703.0
Hotel,Shinjuku,,Apartment,680.0
Hotel,Chuo,1.0,Hotel Room,638.0
Hotel,Shinjuku,1.0,Hotel Room,1028.0
Hotel,Chuo,1.0,Hotel Room,837.0
Hotel,Taito,1.0,Hotel Room,557.0
Hotel,Shinagawa,1.0,Hotel Room,891.0
Hotel,Shinjuku,1.0,Hotel Room,640.0
Hotel,Chiyoda,1.0,Hotel Room,805.0
Hotel,Taito,1.0,Hotel Room,606.0
Hotel,Taito,1.0,Hotel Room,660.0
Hotel,Taito,2.0,Hotel Room,2434.0
Hotel,Arakawa,1.0,Hotel Room,705.0
Hotel,Shinjuku,2.0,Hotel Room,541.0
Hotel,Taito,2.0,Dormitory,534.0
Hotel,Chuo,1.0,Hotel Room,523.0
Hotel,Shinjuku,1.0,Hotel Room,1354.0
Hotel,Chiyoda,1.0,Hotel Room,6483.0
Hotel,Minato,1.0,Dormitory,744.0
Hotel,Taito,3.0,Hotel Room,974.0
Hotel,Chiyoda,1.0,Hotel Room,898.0
Hotel,Shinjuku,1.0,Hotel Room,541.0
Hotel,Chuo,1.0,Hotel Room,1406.0
Hotel,Chiyoda,1.0,Dormitory,311.0
Hotel,Chuo,1.0,Hotel Room,476.0
Hotel,Chuo,1.0,Dormitory,303.0
Hotel,Minato,,Studio,1804.0
Hotel,Edogawa,1.0,Hotel Room,826.0
Hotel,Taito,1.0,Hotel Room,790.0
Hotel,Taito,2.0,Hotel Room,683.0
Hotel,Chiyoda,1.0,Hotel Room,757.0
Hotel,Chuo,1.0,Hotel Room,1240.0
Hotel,Minato,1.0,Hotel Room,798.0
Hotel,Toshima,1.0,Hotel Room,790.0
Hotel,Taito,1.0,Hotel Room,512.0
Hotel,Taito,1.0,Hotel Room,1645.0
Hotel,Chiyoda,1.0,Hotel Room,706.0
Hotel,Taito,1.0,Hotel Room,530.0
Hotel,Minato,1.0,Hotel Room,835.0
Hotel,Shinagawa,1.0,Hotel Room,530.0
Hotel,Nakano,1.0,Hotel Room,779.0
Hotel,Toshima,1.0,Dormitory,292.0
Hotel,(outside tokyo),4.0,Hotel Room,2542.0
Hotel,Itabashi,1.0,Hotel Room,581.0
Hotel,Taito,5.0,Hotel Room,569.0
Hotel,Shinjuku,1.0,Hotel Room,519.0
Hotel,Minato,1.0,Hotel Room,633.0
Hotel,Ota,,Apartment,995.0
Hotel,Setagaya,1.0,Dormitory,345.0
Hotel,Toshima,1.0,Hotel Room,471.0
Hotel,Sumida,1.0,Hotel Room,649.0
Hotel,Taito,1.0,Hotel Room,1039.0
Hotel,Chuo,1.0,Hotel Room,824.0
Hotel,Chiyoda,1.0,Dormitory,281.0
Hotel,Ota,1.0,Dormitory,411.0
Hotel,Minato,1.0,Hotel Room,6194.0
Hotel,Koto,1.0,Hotel Room,606.0
Hotel,Chuo,1.0,Hotel Room,1773.0
Hotel,Taito,1.0,Hotel Room,487.0
Hotel,Minato,1.0,Hotel Room,683.0
Hotel,Shinjuku,1.0,Hotel Room,798.0
Hotel,Toshima,1.0,Hotel Room,640.0
Hotel,Ota,1.0,Hotel Room,756.0
Hotel,Sumida,1.0,Dormitory,230.0
Hotel,Chiyoda,1.0,Hotel Room,970.0
Hotel,Shinjuku,1.0,Dormitory,386.0
Hotel,Chiyoda,1.0,Hotel Room,2806.0
Hotel,Shinagawa,1.0,Hotel Room,724.0
Hotel,Kita,1.0,Hotel Room,484.0
Hotel,Setagaya,1.0,Hotel Room,703.0
Hotel,Chuo,2.0,Hotel Room,1250.0
Hotel,Minato,1.0,Hotel Room,606.0
Hotel,Taito,1.0,Hotel Room,766.0
Hotel,Chiyoda,1.0,Dormitory,373.0
Hotel,(outside tokyo),2.0,Hotel Room,3070.0
Hotel,Taito,1.0,Hotel Room,823.0
Hotel,Shinagawa,1.0,Hotel Room,797.0
Hotel,Adachi,1.0,Hotel Room,752.0
Hotel,Edogawa,1.0,Hotel Room,643.0
Hotel,Sumida,1.0,Hotel Room,2050.0
Hotel,Ota,1.0,Dormitory,228.0
Hotel,Shinjuku,1.0,Hotel Room,1082.0
Hotel,Taito,3.0,Hotel Room,1212.0
Hotel,Ota,1.0,Hotel Room,865.0
Hotel,Taito,2.0,Hotel Room,893.0
Hotel,Meguro,1.0,Hotel Room,1462.0
Hotel,Chuo,1.0,Hotel Room,454.0
Hotel,Ota,1.0,Hotel Room,764.0
Hotel,Koto,,Apartment,462.0
Hotel,Bunkyo,2.0,Hotel Room,1436.0
Hotel,Taito,1.0,Hotel Room,501.0
Hotel,Shinjuku,,Villa,1947.0
Hotel,Taito,2.0,Hotel Room,1527.0
Hotel,Taito,1.0,Hotel Room,933.0
Hotel,Shinjuku,1.0,Hotel Room,1103.0
Hotel,Shinagawa,1.0,Hotel Room,1026.0
Hotel,Shinjuku,1.0,Hotel Room,649.0
Hotel,Shinjuku,1.0,Hotel Room,725.0
Hotel,(outside tokyo),2.0,Hotel Room,3744.0
Hotel,Taito,1.0,Hotel Room,741.0
Hotel,Chiyoda,1.0,Dormitory,342.0
Hotel,Ota,,Apartment,1253.0
Hotel,Chiyoda,1.0,Hotel Room,974.0
Hotel,Koto,1.0,Hotel Room,615.0
Hotel,Taito,2.0,Hotel Room,634.0
Hotel,Ota,1.0,Dormitory,280.0
Hotel,Taito,1.0,Hotel Room,493.0
Hotel,Taito,1.0,Dormitory,300.0
Hotel,Taito,1.0,Hotel Room,706.0
Hotel,Shinagawa,1.0,Hotel Room,799.0
Hotel,Taito,1.0,Dormitory,473.0
Hotel,Edogawa,,Villa,2164.0
Hotel,Toshima,1.0,Hotel Room,763.0
Hotel,Arakawa,1.0,Dormitory,260.0
Hotel,Taito,1.0,Hotel Room,544.0
Hotel,Taito,3.0,Hotel Room,1904.0
Hotel,Sumida,1.0,Hotel Room,1839.0
Hotel,Ota,1.0,Hotel Room,714.0
Hotel,Taito,1.0,Hotel Room,627.0
Hotel,Toshima,1.0,Hotel Room,517.0
Hotel,Setagaya,,Apartment,1190.0
Hotel,Minato,1.0,Hotel Room,632.0
Hotel,Taito,1.0,Hotel Room,574.0
Hotel,Ota,,Studio,619.0
Hotel,Minato,1.0,Hotel Room,1195.0
Hotel,Chuo,1.0,Hotel Room,1014.0
Hotel,Shinagawa,1.0,Hotel Room,820.0
Hotel,Minato,1.0,Hotel Room,1098.0
Hotel,Chiyoda,1.0,Hotel Room,579.0
Hotel,Sumida,1.0,Hotel Room,519.0
Hotel,Ota,1.0,Hotel Room,666.0
Hotel,Minato,1.0,Hotel Room,4024.0
Hotel,Toshima,1.0,Hotel Room,746.0
Hotel,Shinagawa,1.0,Hotel Room,627.0
Hotel,Minato,1.0,Hotel Room,5261.0
Hotel,Shinjuku,1.0,Hotel Room,679.0
Hotel,Ota,1.0,Hotel Room,727.0
Hotel,Minato,1.0,Hotel Room,677.0
Hotel,Chiyoda,2.0,Hotel Room,957.0
Hotel,Taito,1.0,Dormitory,446.0
Hotel,Chiyoda,1.0,Hotel Room,936.0
Hotel,Minato,1.0,Hotel Room,1207.0
Hotel,Ota,1.0,Hotel Room,694.0
Hotel,Minato,1.0,Hotel Room,877.0
Hotel,Shinjuku,1.0,Hotel Room,1352.0
Hotel,Chiyoda,1.0,Hotel Room,736.0
Hotel,Shinjuku,1.0,Hotel Room,617.0
Hotel,Shinjuku,1.0,Hotel Room,617.0
Hotel,Ota,2.0,Hotel Room,822.0
Hotel,Bunkyo,,Apartment,1294.0
Hotel,Shinjuku,,Apartment,928.0
Hotel,Toshima,1.0,Hotel Room,444.0
Hotel,Katsuhika,1.0,Hotel Room,638.0
Hotel,Minato,1.0,Dormitory,514.0
Hotel,Taito,1.0,Dormitory,341.0
Hotel,Taito,1.0,Hotel Room,353.0
Hotel,Sumida,4.0,Hotel Room,1755.0
Hotel,Edogawa,1.0,Hotel Room,844.0
Hotel,(outside tokyo),4.0,Hotel Room,2488.0
Hotel,(outside tokyo),2.0,Hotel Room,2043.0
Hotel,Shinjuku,1.0,Hotel Room,865.0
Hotel,Toshima,1.0,Hotel Room,651.0
Hotel,Sumida,1.0,Dormitory,228.0
Hotel,Shinagawa,1.0,Hotel Room,763.0
Hotel,Chiyoda,3.0,Hotel Room,1928.0
Hotel,Taito,1.0,Hotel Room,477.0
Hotel,Shibuya,,Studio,782.0
Hotel,Arakawa,5.0,Hotel Room,1699.0
Hotel,Shinagawa,1.0,Hotel Room,474.0
Hotel,Taito,3.0,Hotel Room,1361.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Taito,1.0,Dormitory,292.0
Hotel,Taito,3.0,Hotel Room,1475.0
Hotel,Taito,1.0,Hotel Room,516.0
Hotel,Ota,1.0,Dormitory,221.0
Hotel,Toshima,,Studio,521.0
Hotel,Minato,1.0,Hotel Room,906.0
Hotel,Shinjuku,2.0,Hotel Room,703.0
Hotel,Shinagawa,1.0,Hotel Room,1347.0
Hotel,Arakawa,1.0,Hotel Room,882.0
Hotel,Toshima,1.0,Hotel Room,657.0
Hotel,Shinagawa,2.0,Hotel Room,1110.0
Hotel,Chuo,,Apartment,2380.0
Hotel,Chiyoda,2.0,Hotel Room,836.0
Hotel,Ota,1.0,Hotel Room,865.0
Hotel,Taito,1.0,Dormitory,256.0
Hotel,Nakano,,Apartment,1553.0
Hotel,Toshima,,Studio,485.0
Hotel,Taito,,Apartment,911.0
